Date,Equal Weight,60/40,Minimum Volatility,Maximum Sharpe,Regime-Aware Strategy
2007-03-01,-0.006459999190666865,-0.0014402219431195462,-0.0009967759970928025,-0.005706082969584303,-0.0014402219431195462
2007-03-02,-0.011989648529760144,-0.006598382813380099,-0.0009485273836177255,-0.009419700153524668,-0.006598382813380099
2007-03-05,-0.014902913380958727,-0.005455715557537211,-0.002452343113862332,-0.018543705370113184,-0.005455715557537211
2007-03-06,0.019503055266775426,0.00966465001249217,0.0031991450717518966,0.018768924237879236,0.00966465001249217
2007-03-07,-0.000617127804177664,0.0001166494717856903,0.0024813980944371483,-0.004539591652299113,0.0001166494717856903
2007-03-08,0.00797195506890569,0.0050222871988219175,0.0018103674045324425,0.00775447881382596,0.0050222871988219175
2007-03-09,-0.0009055297476109336,-0.002067467457804284,-0.006123854556016384,0.002775252489403135,-0.002067467457804284
2007-03-12,0.002655191400162904,0.001997314454783572,0.0020563552443910726,0.003930273374082249,0.001997314454783572
2007-03-13,-0.014955589660222035,-0.009953358846237714,-0.0016190786758406572,-0.011137925260919057,-0.009953358846237714
2007-03-14,0.004560300791599303,0.003919184334034265,9.471232804925123e-06,0.001726698802107407,0.003919184334034265
2007-03-15,0.0021869718185238973,0.00038665006785021383,-0.000510429737146989,0.0036322674820705725,0.00038665006785021383
2007-03-16,-0.0017160659405880407,-0.001727334991977969,-0.000637783887914467,-0.003455379018945326,-0.001727334991977969
2007-03-19,0.00858602015070864,0.006694427938383152,0.0020284841840396695,0.005254062116581748,0.006694427938383152
2007-03-20,0.0051241071901835245,0.0038800033919599297,0.0021458519158146228,0.0038247398884485584,0.0038800033919599297
2007-03-21,0.013055407896648719,0.010497513768502387,0.004803260936032672,0.008466011694682196,0.010497513768502387
2007-03-22,-0.0007951151284023572,-0.0017811650237831156,-0.0028735335182877852,-0.0013846843329595737,-0.0017811650237831156
2007-03-23,-0.0005223542023922167,0.0002787336760856629,-0.0010606546183483667,-0.0009473270886166674,0.0002787336760856629
2007-03-26,0.00013160051700289443,-0.0004764794526999072,0.0006433721310659113,-0.005065993034639837,-0.0004764794526999072
2007-03-27,-0.003469788388825834,-0.0015365063591329386,-0.0010028932748546993,-0.004902620641913158,-0.0015365063591329386
2007-03-28,-0.004665152634564906,-0.00446734627137102,-0.0018406519882514516,-0.0031087177101701835,-0.00446734627137102
2007-03-29,0.004550213515422286,7.206191792974437e-05,0.0005013931281010464,0.000549646194794029,7.206191792974437e-05
2007-03-30,8.070196080001146e-05,-0.00036618102515295625,-0.0019888093324050837,0.0010734850475042634,-0.00036618102515295625
2007-04-02,0.0015647148239166242,0.0011207296232440545,0.000636827432867193,0.001925203392634245,0.0011207296232440545
2007-04-03,0.006202885908939582,0.006123587145437925,0.0014202793673903091,0.0026865683355306036,0.006123587145437925
2007-04-04,0.0038737832140134376,0.0012950026465956554,0.0018574374284923145,0.0016693340334035245,0.0012950026465956554
2007-04-05,0.0007102082415599842,0.0006292454305174555,-0.001476264223110868,-0.000789477119692239,0.0006292454305174555
2007-04-09,-0.0018728269856198576,-0.0009803247278891147,-0.0042223317467384724,-0.0031060497287577205,-0.0009803247278891147
2007-04-10,0.005396637407881988,0.001527142523858993,0.0028543574428110396,0.004540446906299067,0.001527142523858993
2007-04-11,-0.005496703542827941,-0.0029484811124455,-0.001714909085427263,-0.004594197381956766,-0.0029484811124455
2007-04-12,0.0041735034823273676,0.0030712067065379323,0.0018129355334308705,0.0007284894569188349,0.0030712067065379323
2007-04-13,0.004616510634829263,0.0020939067664895727,-0.00029284889304914685,0.0025184541305374175,0.0020939067664895727
2007-04-16,0.006402407423711454,0.006194197574841187,0.0038563308153583,0.0033582784864287785,0.006194197574841187
2007-04-17,0.00030815612948797977,0.0032790924826786583,0.003448788610898257,0.004156118019722044,0.0032790924826786583
2007-04-18,-0.0009207586285692182,0.0016433694297930401,0.0027925767728189665,0.0004169997123983915,0.0016433694297930401
2007-04-19,-0.0037857416682541833,-0.00021265873570419647,-0.0008087313754097103,-0.002888413467389328,-0.00021265873570419647
2007-04-20,0.008545894417369748,0.005319605434774832,0.0017099857137701235,0.004372891960951364,0.005319605434774832
2007-04-23,-8.072396580360852e-05,-0.0015039305728680175,0.0014851539722058327,0.0015267642457159614,-0.0015039305728680175
2007-04-24,-0.001810313093259186,0.0009995147439696428,0.0012235498655912558,-0.0012250834870076721,0.0009995147439696428
2007-04-25,0.006450917545306911,0.005358070221401778,0.0019085536655336632,0.002249761416086793,0.005358070221401778
2007-04-26,-0.002630723510080646,-0.00042592065710922444,-0.003572915640154606,-0.0036957307510374626,-0.00042592065710922444
2007-04-27,4.0539224986479994e-05,-0.000490943406506017,4.459524656397207e-05,-0.00035149433256020934,-0.000490943406506017
2007-04-30,-0.00833207334533459,-0.0032637522596955515,0.002765856763615515,-0.0011627767867709027,-0.0032637522596955515
2007-05-01,-0.00032246364894927826,0.0015495673088896655,0.0009228332947832651,-0.001067318155527519,0.0015495673088896655
2007-05-02,0.005494734521838129,0.003011857963387099,0.0001782414533699761,0.001851328445257705,0.003011857963387099
2007-05-03,0.0036996178260100265,0.002810840267019943,0.00027989989608401267,0.000525961236360617,0.002810840267019943
2007-05-04,0.0026586714212006868,0.0032899865798978745,0.0030656303619827074,0.000875761707527456,0.0032899865798978745
2007-05-07,0.0007909918254120907,0.00045662346171715384,0.0010016244972947952,0.0014928339951156833,0.00045662346171715384
2007-05-08,-0.004448214461237332,-0.0007960070963969335,-0.001370520002505815,-0.0020581354596148627,-0.0007960070963969335
2007-05-09,0.0022546626937480774,0.00033465769087714925,-0.002263810381295417,0.00031723450024001565,0.00033465769087714925
2007-05-10,-0.011503128666526807,-0.0052835209889425805,-0.0007511265776212195,-0.0028783811369821333,-0.0052835209889425805
2007-05-11,0.010181472601352493,0.004303886769960297,0.0007219814901813226,0.002558809661219019,0.004303886769960297
2007-05-14,-0.004738342240847571,-0.0018930205510843123,-0.002104319579185776,-0.002676304421666109,-0.0018930205510843123
2007-05-15,-0.0014244228801353342,0.00011199167426245715,0.0004434576730980577,-0.0029655661006144918,0.00011199167426245715
2007-05-16,0.000127518014669592,0.0038720542108545697,0.0005084466655591591,-0.0016629216636530053,0.0038720542108545697
2007-05-17,-0.004666802539382564,-0.002249747727907314,-0.0023722675499951995,-0.005576535297129426,-0.002249747727907314
2007-05-18,0.002803441505742743,0.004108932620735306,-0.0014438454470171447,-0.003059826775726804,0.004108932620735306
2007-05-21,0.0035806359634089624,0.00020925185665898738,0.0019200604673781374,0.001944731769036867,0.00020925185665898738
2007-05-22,-0.0008198059344397546,-0.0015787572701680963,-0.0037532012038631324,0.00022605065495073795,-0.0015787572701680963
2007-05-23,-0.0006059957404205285,-0.0006886754337359635,-0.0014113921841752974,-0.0028212710134241092,-0.0006886754337359635
2007-05-24,-0.010234302121355787,-0.004962896253771887,-0.0015165072564059523,-0.0040370624724168636,-0.004962896253771887
2007-05-25,0.005624902320639169,0.0020849524361725713,0.0004312680505564881,0.0009090212283240362,0.0020849524361725713
2007-05-29,0.0029758649932121184,0.001376675418192308,-0.0012739838280964033,0.00628038204892567,0.001376675418192308
2007-05-30,0.007125860712049681,0.0053265536063655805,0.0034237830341989905,0.0075153137215902,0.0053265536063655805
2007-05-31,0.0032233850130785058,-0.0007890279607271067,-0.0005886080977507424,-0.0015337052961267306,-0.0007890279607271067
2007-06-01,0.0055409039601515,0.0012491186274872224,-0.0018471843528509169,-0.0005887111229709863,0.0012491186274872224
2007-06-04,0.0022915561616869695,0.0007163324602181831,0.00251946007252557,0.0017213173655112879,0.0007163324602181831
2007-06-05,-0.004819117680954554,-0.0036565611684599153,-0.004380771388109328,-0.005060816037911087,-0.0036565611684599153
2007-06-06,-0.007889896294514864,-0.00626957574729603,-0.002547464366986496,-0.004382194792298955,-0.00626957574729603
2007-06-07,-0.015764120374058055,-0.014816095587319222,-0.013689472954667603,-0.01597039649252674,-0.014816095587319222
2007-06-08,0.004433850045375554,0.008519622489545409,0.0027185583434305993,0.006361639060643798,0.008519622489545409
2007-06-11,0.0019213959145585324,-1.4468677398626895e-05,-0.0006223509057161625,-0.0021503378860521227,-1.4468677398626895e-05
2007-06-12,-0.011889833402598193,-0.009389952266010693,-0.010101168946704098,-0.010460949639021333,-0.009389952266010693
2007-06-13,0.012857514341542586,0.010283618083016588,0.009205959744573056,0.01040924110772079,0.010283618083016588
2007-06-14,0.004397110482012412,0.003946963205528231,0.0013215062169076308,0.0011410528286590615,0.003946963205528231
2007-06-15,0.009009597695771587,0.00517177033456151,0.005546297803031841,0.005791273613624748,0.00517177033456151
2007-06-18,-0.0011862016895357597,-0.0009084273364766693,-0.0011131930551426805,-0.002249385001905191,-0.0009084273364766693
2007-06-19,0.002054408610457026,0.0034275064530118193,0.0049533392741998306,0.004393727246106538,0.0034275064530118193
2007-06-20,-0.011122943843089539,-0.009665119301637048,-0.007098678282166926,-0.010122847927658829,-0.009665119301637048
2007-06-21,0.003676241655955703,0.0028418798674123558,-0.0008724109411740733,0.0012844682375714456,0.0028418798674123558
2007-06-22,-0.004791688415861861,-0.004479625121088571,0.0008204402245131082,-0.0016137073602426888,-0.004479625121088571
2007-06-25,-0.003831257018927725,-0.0015729604764161964,0.001675962238904427,-0.0009821797414436562,-0.0015729604764161964
2007-06-26,-0.006520323372268821,-0.006042821177188462,-0.002822993656036221,-0.003916049126235999,-0.006042821177188462
