Strategy,Final Value,CAGR,Volatility,Sharpe Ratio,Max Drawdown,Average Rebalance Turnover,Total Transaction Costs,Rebalance Frequency,Turnover Threshold,Persistence Months,Executed Rebalances,Skipped Rebalances,Rebalance Opportunities
Monthly Base,48038.30774515447,0.08475488868665737,0.09131807124742727,0.9381365156813991,-0.2261622450793448,0.2934625564084804,1775.8109891884862,monthly,0.0,1,232,0,232
Monthly 5% Threshold,48739.565453960866,0.08556885003632564,0.09164118291098361,0.9433524348242049,-0.22617327375763563,0.6615474813193942,1759.8896931256409,monthly,0.05,1,101,131,232
Monthly 10% Threshold,48956.66935597899,0.08581859569371098,0.09215860033025935,0.9410737708709397,-0.2240160242354342,0.8648227103270868,1737.2308145595441,monthly,0.1,1,76,156,232
Monthly 20% Threshold,49085.90810784207,0.085966767404412,0.09303674559154014,0.9345382462832075,-0.22401602423543432,1.0888594390903517,1730.5580210492199,monthly,0.2,1,59,173,232
Quarterly Base,40877.4138501847,0.0757298502457604,0.09602395229110769,0.8096353370112385,-0.2422651176232754,0.5253986382304339,885.950343983099,quarterly,0.0,1,78,0,78
Quarterly 5% Threshold,41093.74167017735,0.07602376065649796,0.09649256166060344,0.8090078625131085,-0.24214799526843944,0.7827113734761236,881.5485382522128,quarterly,0.05,1,52,26,78
Monthly 2-Month Regime Confirmation,36621.23798499783,0.06962562126262628,0.09962157677314008,0.7266761223101003,-0.2354637286327671,0.18803374126955652,870.2843982707535,monthly,0.0,2,232,0,232
Monthly 2-Month Confirmation + 5% Threshold,37179.83780237213,0.07046401579925954,0.09993454342821179,0.7325713581417392,-0.23574488383461223,0.49919318971517396,842.0015672609089,monthly,0.05,2,84,148,232
Quarterly 2-Month Confirmation + 5% Threshold,39665.61036896222,0.07405567009335523,0.09985894672861352,0.766665156467919,-0.2421479952684389,0.5631452939796973,430.76908827972034,quarterly,0.05,2,46,32,78
