Strategy,Final Value,CAGR,Volatility,Sharpe Ratio,Max Drawdown,Average Rebalance Turnover,Total Transaction Costs
Equal Weight,42557.42602872556,0.07852380499616451,0.13786122742078957,0.6137064941667008,-0.40426432126116696,,
60/40,45890.532027003246,0.08243684232450832,0.11049095732101333,0.7702481988535991,-0.32497477446124357,,
Minimum Volatility,29146.448834654137,0.056988731242624935,0.06883100067227275,0.8402089148908792,-0.1980307022034058,,
Maximum Sharpe,50075.31510508605,0.08749785179819636,0.10606207169653349,0.8406398555721718,-0.2418237486814504,,
True Regime-Aware Strategy,48155.135937304774,0.08513617408225271,0.09131807124742727,0.9381365156813991,-0.226162245079346,0.29040395275656905,1765.810989188486
