DBC,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT,VNQ,Strategy,Date
0.09694684096688462,0.099720067974915,0.10124008171479486,0.10147696625900497,0.10226284125406687,0.09913655126441535,0.09571095156461608,0.09823517904712578,0.10398581122182528,0.10128470873235113,Equal Weight Monthly Rebalanced,2020-09-14
0.09699310107715407,0.10027435186432171,0.10139160174284514,0.10073625931570081,0.10170981766362798,0.09883583626341767,0.0965901003245712,0.09824586601389997,0.10322278735168974,0.10200027838277159,Equal Weight Monthly Rebalanced,2020-09-15
0.09867574239157506,0.10002870625426706,0.10127790756884575,0.10090852511345105,0.10153738973120692,0.09965843009887133,0.09494327292411647,0.09774624032884154,0.102799060586277,0.10242472500254779,Equal Weight Monthly Rebalanced,2020-09-16
0.10023779442546511,0.1000707011173664,0.10186654701986188,0.10079944893256133,0.10202105745192198,0.09936961301346464,0.09387437882580354,0.09731607586851727,0.10357049246641592,0.100873890878622,Equal Weight Monthly Rebalanced,2020-09-17
0.10132470517950186,0.09991837751396651,0.10168363346027107,0.10157029318212922,0.1025738437980024,0.09973807518748876,0.09326268399877263,0.09680437583066712,0.10390180096838077,0.09922221088081976,Equal Weight Monthly Rebalanced,2020-09-18
0.10030386256512996,0.10046952609518263,0.10058052289859809,0.10100924444354274,0.10428650900859765,0.0976744888597186,0.09487571612325722,0.09714967651788216,0.10598103619461152,0.09766941729347947,Equal Weight Monthly Rebalanced,2020-09-21
0.09955999262714124,0.09943377206008767,0.10026236269404329,0.10023334057420155,0.1039893960917919,0.09814685936262948,0.09636310499569006,0.09785948065528377,0.10559560281262197,0.09855608812650905,Equal Weight Monthly Rebalanced,2020-09-22
0.10008171290577908,0.09954741163359579,0.10110907398673075,0.0997287282420052,0.10575077826842526,0.09683569501713149,0.0950030474881393,0.09720914391569736,0.10752795045534265,0.09720645808715307,Equal Weight Monthly Rebalanced,2020-09-23
0.10035026356765332,0.09889105493668326,0.10081447235200013,0.0999031831731508,0.10559521512739052,0.09664568314334247,0.09525816296281102,0.09727699591457141,0.10772802149810144,0.0975369473242955,Equal Weight Monthly Rebalanced,2020-09-24
0.09959342902351313,0.09823673301988164,0.10038833849295639,0.0988671460386863,0.10488475074600391,0.0974746584803404,0.09673764071755903,0.09810413954972044,0.10691554442885415,0.09879761950248453,Equal Weight Monthly Rebalanced,2020-09-25
0.09922950931950426,0.09813825839151241,0.10067270077027969,0.09865886418155166,0.10360433687921457,0.09867496538782897,0.09755726447057049,0.09853222793127883,0.1053269678538159,0.09960490481444312,Equal Weight Monthly Rebalanced,2020-09-28
0.09832850881832936,0.09830912445389783,0.10080737889906186,0.09973290941648981,0.1039329996980492,0.09846669928818289,0.0973536837147799,0.09823407808688166,0.10570512897785266,0.09912948864647475,Equal Weight Monthly Rebalanced,2020-09-29
0.10090854351384586,0.10135880497685498,0.09926607789158348,0.09915057092378299,0.09948010314999567,0.10005016561166548,0.10043276769281247,0.10050585378046474,0.09879342220128903,0.10005369025770532,Equal Weight Monthly Rebalanced,2020-09-30
0.09895734088801399,0.1015675102495928,0.0991269451167351,0.09931748672094547,0.09882251104912758,0.10091739338738054,0.10129501152167705,0.10042554680813158,0.09824654160149779,0.10132371265689798,Equal Weight Monthly Rebalanced,2020-10-01
0.09819697215888593,0.1008832869309184,0.09939838942795223,0.09970273970637851,0.09919689073882973,0.10184606800089326,0.09891592609699126,0.09994739163599058,0.09834739308118555,0.10356494222197467,Equal Weight Monthly Rebalanced,2020-10-02
0.09968091587095748,0.10116098179693354,0.09984609849422979,0.09913476754783056,0.09753242730207103,0.10355710256703066,0.09996278944159302,0.10064985167597038,0.09541157285710292,0.1030634924462807,Equal Weight Monthly Rebalanced,2020-10-05
0.10057641758989792,0.10186326067669782,0.09929150349424515,0.09847227015415744,0.09826060554095974,0.10379099092990993,0.09868328014436223,0.09972883035024431,0.09641866442824006,0.10291417669128543,Equal Weight Monthly Rebalanced,2020-10-06
0.10023989918652175,0.10224664544677334,0.09942853281506056,0.09772607026289556,0.09727831544445455,0.10530123409980535,0.0996746290352166,0.10074135970394414,0.09503308297768313,0.1023302310276451,Equal Weight Monthly Rebalanced,2020-10-07
