Strategy,Final Value,CAGR,Volatility,Sharpe Ratio,Max Drawdown
Equal Weight,42282.505091023435,0.07783914728751662,0.13785572831531873,0.6111759366827166,-0.40426432126116596
60/40,45824.43947579638,0.0820538681699432,0.11048033318585387,0.7694881681708386,-0.3249747744612437
Minimum Volatility,29117.396354055094,0.05692851619076578,0.06882448660779353,0.8393649561708895,-0.19803070220340646
Maximum Sharpe,49789.581202368216,0.08695235476608976,0.1060601349328495,0.8376937979027073,-0.24182374868144985
Regime-Aware Strategy,51317.843239722555,0.0884133084146812,0.09134652793322932,0.9737922955072704,-0.2251849302417136
