Date,DBC,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT,VNQ
2006-02-06,19.18509864807129,21.803115844726562,33.987098693847656,56.720001220703125,48.67744064331055,55.22732162475586,34.846832275390625,86.93225860595703,47.63731384277344,27.02301788330078
2006-02-07,18.630155563354492,21.231090545654297,33.73529052734375,54.599998474121094,48.618751525878906,54.335079193115234,34.69313049316406,86.16322326660156,47.412330627441406,26.810503005981445
2006-02-08,18.550880432128906,21.29709815979004,33.85572052001953,54.83000183105469,48.589393615722656,54.678260803222656,35.094451904296875,86.94601440429688,47.302391052246094,26.69149398803711
2006-02-09,18.725290298461914,21.35209083557129,33.921409606933594,56.18000030517578,48.63637161254883,54.39609909057617,34.76142883300781,86.8017578125,47.516963958740234,26.818994522094727
2006-02-10,18.384397506713867,21.31909942626953,33.844783782958984,54.790000915527344,48.49549865722656,54.281707763671875,34.97490310668945,86.95970153808594,47.255287170410156,26.844499588012695
2006-02-13,18.0989990234375,20.79326629638672,33.609397888183594,53.720001220703125,48.49549865722656,53.92329025268555,34.57359313964844,86.8017578125,47.26050567626953,26.882747650146484
2006-02-14,17.948375701904297,21.31909942626953,33.98161697387695,54.4900016784668,48.425048828125,54.54861068725586,34.923675537109375,87.721923828125,47.09308624267578,27.03151512145996
2006-02-15,17.686758041381836,21.209091186523438,33.675079345703125,53.7599983215332,48.51310729980469,55.0290641784668,35.14569854736328,88.03091430664062,47.208229064941406,27.269521713256836
2006-02-16,17.90080451965332,21.759119033813477,33.998043060302734,54.52000045776367,48.489627838134766,55.51712417602539,35.47016525268555,88.69013977050781,47.21865463256836,27.45229148864746
2006-02-17,18.154491424560547,21.73050880432129,33.89952087402344,54.959999084472656,48.65399169921875,55.4027214050293,35.18837356567383,88.44976806640625,47.59547424316406,27.745559692382812
2006-02-21,18.455747604370117,21.539104461669922,33.90498733520508,55.119998931884766,48.59529495239258,55.158668518066406,34.79558563232422,88.23006439208984,47.516963958740234,27.711549758911133
2006-02-22,18.154491424560547,21.655712127685547,34.16226577758789,55.34000015258789,48.77725601196289,55.53236770629883,35.23107147216797,88.76564025878906,47.84141159057617,28.0218448638916
2006-02-23,18.0910701751709,21.649112701416016,34.249839782714844,54.63999938964844,48.65985107421875,55.49425506591797,35.13713836669922,88.63520812988281,47.721046447753906,27.975065231323242
2006-02-24,18.582590103149414,21.69091033935547,34.36478805541992,55.63999938964844,48.60116958618164,55.9365348815918,35.23107147216797,88.86177825927734,47.64780807495117,27.826309204101562
2006-02-27,18.21791648864746,21.888919830322266,34.48522186279297,55.220001220703125,48.507259368896484,56.08906936645508,35.62384796142578,88.89612579345703,47.56927490234375,27.830564498901367
2006-02-28,18.46367645263672,21.31909942626953,34.16773986816406,56.06999969482422,48.700958251953125,55.349334716796875,35.094451904296875,88.051513671875,47.80476760864258,27.728559494018555
2006-03-01,18.42403793334961,21.908727645874023,34.518070220947266,56.099998474121094,48.604984283447266,56.35595703125,35.572601318359375,88.83433532714844,47.51594924926758,27.890066146850586
2006-03-02,18.756999969482422,21.926326751708984,34.45238494873047,56.7400016784668,48.410614013671875,56.11954879760742,35.59823989868164,88.82743835449219,47.18510818481445,27.856063842773438
2006-03-03,18.931413650512695,21.561111450195312,34.31005859375,56.279998779296875,48.29286575317383,55.83739471435547,35.393314361572266,88.41544342041016,46.91200637817383,27.70304298400879
2006-03-06,18.630155563354492,21.231090545654297,34.178672790527344,55.22999954223633,48.139774322509766,55.4027214050293,35.08591842651367,88.01033020019531,46.502403259277344,28.204572677612305
2006-03-07,18.30512046813965,20.48305320739746,33.76267623901367,54.95000076293945,48.1633186340332,54.601959228515625,34.8809814453125,87.87300872802734,46.53389358520508,27.864572525024414
2006-03-08,18.011795043945312,20.604061126708984,33.87761688232422,53.970001220703125,48.1868782043457,54.792633056640625,34.89805221557617,88.05838775634766,46.51814270019531,28.009061813354492
2006-03-09,18.194133758544922,20.395044326782227,33.83930587768555,54.2400016784668,48.23394775390625,54.312191009521484,34.599205017089844,87.46783447265625,46.53389358520508,28.238588333129883
2006-03-10,18.114856719970703,20.82406997680664,34.353843688964844,53.83000183105469,48.139774322509766,55.15105056762695,34.63335037231445,88.29871368408203,46.36062240600586,28.49359703063965
2006-03-13,18.35268783569336,20.80206871032715,34.63848114013672,54.310001373291016,48.09854507446289,55.265445709228516,34.735809326171875,88.46351623535156,46.323829650878906,28.306583404541016
2006-03-14,18.622228622436523,21.45110511779785,35.005226135253906,54.869998931884766,48.37531661987305,55.875511169433594,35.325016021728516,89.39054107666016,46.63371276855469,28.51059913635254
2006-03-15,18.416109085083008,21.69971466064453,35.131126403808594,55.119998931884766,48.286964416503906,56.386478424072266,35.62384796142578,89.7887954711914,46.38161087036133,29.05037498474121
2006-03-16,18.574665069580078,21.5061092376709,35.24608612060547,55.34000015258789,48.59317398071289,56.25682830810547,35.325016021728516,89.97420501708984,46.80170822143555,29.35213851928711
2006-03-17,18.48746109008789,21.65791130065918,35.415771484375,55.119998931884766,48.49308776855469,56.48561477661133,35.41813659667969,90.04936218261719,46.65993881225586,29.61565399169922
2006-03-20,18.10692596435547,21.781124114990234,35.4869270324707,55.16999816894531,48.58729934692383,56.45509338378906,35.50358581542969,89.90457916259766,46.73344421386719,29.1171875
2006-03-21,18.170351028442383,21.34109878540039,35.12019348144531,54.83000183105469,48.3870964050293,55.66965103149414,35.12760925292969,89.3392333984375,46.491886138916016,28.779457092285156
2006-03-22,18.13863754272461,21.576507568359375,35.4486083984375,54.75,48.44596862792969,56.531368255615234,35.213069915771484,89.88390350341797,46.591644287109375,28.84358024597168
2006-03-23,18.447818756103516,21.376298904418945,35.02164840698242,54.70000076293945,48.32231521606445,56.77540588378906,35.11053466796875,89.69771575927734,46.44464874267578,28.920549392700195
2006-03-24,18.40818214416504,21.561111450195312,35.300811767578125,55.709999084472656,48.534278869628906,57.24851989746094,35.289955139160156,89.7667007446289,46.78594207763672,28.87778091430664
2006-03-27,18.519166946411133,21.6931209564209,35.2406120300293,56.38999938964844,48.428314208984375,57.256160736083984,35.29850387573242,89.63565826416016,46.6126823425293,28.54433822631836
2006-03-28,18.756999969482422,21.29709815979004,34.9012336730957,56.060001373291016,48.192779541015625,56.95805358886719,35.15324401855469,89.08416748046875,46.17677307128906,28.860692977905273
2006-03-29,18.88384437561035,21.704116821289062,35.361019134521484,57.06999969482422,48.14564514160156,58.01284408569336,35.819732666015625,89.6426010131836,45.95624542236328,29.399328231811523
2006-03-30,19.113746643066406,21.814119338989258,35.78799057006836,58.599998474121094,48.00433349609375,57.859954833984375,35.930824279785156,89.48405456542969,45.63588333129883,28.97611427307129
2006-03-31,18.97897720336914,21.781124114990234,35.536190032958984,58.099998474121094,48.039649963378906,58.06633377075195,35.828277587890625,89.50471496582031,45.62018966674805,29.035959243774414
2006-04-03,19.066181182861328,22.39715003967285,35.92483901977539,58.470001220703125,47.98647689819336,57.5848274230957,35.871002197265625,89.43577575683594,45.634891510009766,28.53578758239746
2006-04-04,18.96312141418457,22.529155731201172,36.20948028564453,58.33000183105469,47.99240493774414,57.84471893310547,36.067543029785156,90.0079574584961,45.58746337890625,28.339126586914062
2006-04-05,19.082035064697266,22.76016616821289,36.32990264892578,58.65999984741211,48.10463333129883,58.142784118652344,36.40933609008789,90.31822204589844,45.650718688964844,28.493040084838867
2006-04-06,19.422929763793945,22.64356803894043,36.362754821777344,59.279998779296875,47.96875,58.265106201171875,36.511878967285156,90.22167205810547,45.302791595458984,28.377614974975586
2006-04-07,19.335723876953125,22.29814338684082,35.94675064086914,58.59000015258789,47.75018310546875,57.33259582519531,36.16152572631836,89.3047866821289,44.8599967956543,27.950115203857422
2006-04-10,19.69247055053711,22.22114372253418,36.01241683959961,59.599998474121094,47.809261322021484,57.271453857421875,36.11025619506836,89.44268035888672,44.94429397583008,27.685049057006836
2006-04-11,19.771751403808594,22.03193473815918,35.771583557128906,59.0099983215332,47.897857666015625,56.2548828125,35.819732666015625,88.684326171875,45.10247802734375,27.61665916442871
2006-04-12,19.732112884521484,22.1595401763916,35.596405029296875,59.43000030517578,47.78561782836914,56.84340286254883,35.828277587890625,88.84980773925781,44.82838439941406,27.61665916442871
2006-04-13,19.858951568603516,22.26514434814453,35.689456939697266,59.5,47.5316162109375,56.98862075805664,35.973541259765625,88.73257446289062,44.51210021972656,27.253284454345703
2006-04-17,20.0730037689209,22.529155731201172,35.85367965698242,61.09000015258789,47.71474075317383,57.026851654052734,35.597564697265625,88.6981201171875,44.67549133300781,27.176328659057617
2006-04-18,20.334619522094727,23.277193069458008,36.5871696472168,61.849998474121094,47.86832809448242,58.62431716918945,36.281150817871094,90.10449981689453,44.75455856323242,27.838958740234375
2006-04-19,20.53281021118164,23.42020606994629,36.838966369628906,63.75,47.73244857788086,59.052330017089844,36.44350051879883,90.27685546875,44.4804573059082,28.18095588684082
2006-04-20,20.294979095458984,23.336599349975586,36.67476272583008,60.959999084472656,47.69114685058594,58.73896408081055,36.31533432006836,90.40090942382812,44.44356155395508,28.210886001586914
2006-04-21,20.723073959350586,23.519210815429688,36.92107391357422,63.20000076293945,47.79154586791992,58.60902404785156,35.88809585571289,90.41474151611328,44.701866149902344,28.21515655517578
2006-04-24,20.310836791992188,23.211196899414062,36.95940017700195,61.650001525878906,47.85063934326172,58.142784118652344,35.853912353515625,90.24930572509766,44.881080627441406,28.069808959960938
2006-04-25,20.374256134033203,22.89217758178711,36.9375,62.779998779296875,47.549339294433594,58.180992126464844,35.77701950073242,89.8769760131836,44.34869384765625,27.85605239868164
2006-04-26,20.294979095458984,23.343204498291016,37.16740417480469,63.650001525878906,47.525672912597656,58.13515090942383,35.768463134765625,89.89765167236328,44.274871826171875,27.77054786682129
2006-04-27,19.97787094116211,22.975780487060547,37.233089447021484,62.959999084472656,47.65566635131836,57.65364074707031,36.11025619506836,90.33203125,44.332828521728516,27.945844650268555
2006-04-28,20.310836791992188,23.200191497802734,37.238563537597656,65.08999633789062,47.73836135864258,58.242149353027344,35.75993728637695,90.6352767944336,44.36445617675781,28.048433303833008
2006-05-01,20.53281021118164,23.193588256835938,37.222145080566406,65.16000366210938,47.4798583984375,57.523677825927734,35.40960693359375,89.89765167236328,44.03107833862305,27.710712432861328
2006-05-02,20.770645141601562,23.602813720703125,37.79141616821289,66.55000305175781,47.55694580078125,58.310935974121094,35.50358581542969,90.57331848144531,44.14751052856445,27.42855453491211
2006-05-03,20.398042678833008,23.62921714782715,37.566993713378906,66.45999908447266,47.491695404052734,58.21158981323242,35.45229721069336,90.23548126220703,44.0522575378418,27.479862213134766
2006-05-04,20.152280807495117,23.860227584838867,37.85710525512695,67.4800033569336,47.46205139160156,58.92238235473633,35.742835998535156,90.55948638916016,43.97816467285156,27.86888313293457
2006-05-05,20.374256134033203,24.24524688720703,38.43732833862305,67.98999786376953,47.57469940185547,59.251075744628906,36.02481460571289,91.35918426513672,44.24274826049805,28.227981567382812
2006-05-08,20.318761825561523,24.421253204345703,38.404483795166016,67.55999755859375,47.59844970703125,59.335147857666016,36.05900192260742,91.2489242553711,44.26919937133789,28.351953506469727
2006-05-09,20.6358699798584,24.443254470825195,38.6343879699707,69.68000030517578,47.58068084716797,59.251075744628906,35.92227554321289,91.42815399169922,44.24274826049805,28.339126586914062
2006-05-10,21.151172637939453,24.179235458374023,38.51397705078125,70.37999725341797,47.60438537597656,58.891822814941406,35.606117248535156,91.3798828125,44.322147369384766,28.236536026000977
2006-05-11,21.357295989990234,23.563217163085938,38.12532043457031,71.02999877929688,47.521358489990234,57.561859130859375,34.81146240234375,90.27685546875,44.10515213012695,27.714988708496094
2006-05-12,21.28594398498535,22.947179794311523,37.63268280029297,71.12000274658203,47.34351348876953,56.17844772338867,34.34149169921875,89.09797668457031,43.74001693725586,27.364423751831055
2006-05-15,20.56451988220215,22.39715003967285,37.30972671508789,67.41000366210938,47.444271087646484,55.926212310791016,34.315860748291016,89.2771987915039,43.91463088989258,27.74062728881836
2006-05-16,20.627944946289062,22.50935935974121,37.25498580932617,68.61000061035156,47.62212371826172,56.01791763305664,34.05951690673828,89.14625549316406,44.24274826049805,27.633756637573242
2006-05-17,20.596233367919922,21.73711585998535,36.06715774536133,68.1500015258789,47.485801696777344,54.99370574951172,33.59811019897461,87.4503402709961,43.967552185058594,27.116479873657227
2006-05-18,20.604158401489258,21.31909942626953,35.95768356323242,67.45999908447266,47.823768615722656,54.47398376464844,33.36737823486328,87.00910186767578,44.565582275390625,26.907001495361328
2006-05-19,20.152280807495117,21.778921127319336,36.1383056640625,65.58000183105469,47.79408645629883,54.955535888671875,33.62371826171875,87.62263488769531,44.68199920654297,26.97113037109375
2006-05-22,20.310836791992188,20.753664016723633,35.3446044921875,65.30000305175781,47.85931396484375,54.344051361083984,33.29903793334961,86.95391845703125,44.77727508544922,26.898448944091797
2006-05-23,20.627944946289062,20.527055740356445,35.35555648803711,66.37999725341797,47.841552734375,53.640865325927734,32.97433090209961,86.29210662841797,44.75079345703125,26.60348129272461
2006-05-24,20.104713439941406,20.38404655456543,35.33366394042969,64.05999755859375,47.912681579589844,54.05358123779297,33.19648742675781,86.98149108886719,44.771949768066406,26.64623260498047
2006-05-25,20.453536987304688,21.250890731811523,35.80989074707031,64.69999694824219,47.835594177246094,55.19245529174805,33.63226318359375,88.05695343017578,44.597312927246094,27.146411895751953
2006-05-26,20.65172576904297,21.187084197998047,36.099998474121094,65.0999984741211,47.87709426879883,55.5211181640625,33.74335861206055,88.50509643554688,44.565582275390625,27.471294403076172
2006-05-30,20.540739059448242,20.27404022216797,35.5526237487793,65.11000061035156,47.835594177246094,53.992462158203125,33.017059326171875,86.93327331542969,44.54438781738281,27.24472427368164
2006-05-31,20.231557846069336,20.615062713623047,35.81535339355469,64.2300033569336,47.6873664855957,54.932586669921875,33.17085266113281,87.90531158447266,44.27983093261719,27.291744232177734
2006-06-01,19.985797882080078,21.03748321533203,36.045265197753906,62.560001373291016,47.767093658447266,56.002647399902344,33.95698547363281,88.74637603759766,44.47748947143555,27.791915893554688
2006-06-02,20.382184982299805,21.25308609008789,36.39558792114258,63.5,48.136051177978516,55.96442794799805,33.87152099609375,88.9325180053711,45.05126953125,28.112577438354492
