Date,DBC,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT,VNQ
2019-08-05,0.0806177000277028,3.1200591451126295e-18,0.09188873005183931,0.0742103411576256,0.40435947843927406,1.0888454139072781e-17,1.9096772100114208e-17,0.0997813247578722,0.24495068047621213,0.004191745089474017
2019-08-06,0.07980118066406852,3.149535905490499e-18,0.0920638280254244,0.0744526420571611,0.4030548451090817,1.0935502629034981e-17,1.927068676585051e-17,0.10069238994660396,0.2457173778956779,0.004217736301982391
2019-08-07,0.07873389998745027,3.1617708865979068e-18,0.09235650508108498,0.07553393173017639,0.4027902254193549,1.092540021716761e-17,1.93620673059389e-17,0.10068571345808998,0.2456438119340551,0.004255912389788213
2019-08-08,0.0788209109180338,3.1869474399337035e-18,0.09285312649905582,0.07558786778034882,0.40109437224648503,1.1113014804728182e-17,1.9698417174993433e-17,0.1022198704918383,0.24511180776881486,0.004312044295423354
2019-08-09,0.07967179678169134,3.1608354755568157e-18,0.09239347007997391,0.07548831500497198,0.40129035570736343,1.0995149200449505e-17,1.9552348426012183e-17,0.1017272288562034,0.24511336585793445,0.00431546771186156
2019-08-12,0.07862845471984284,3.1047307772702633e-18,0.09112967824904418,0.07577986454208871,0.40149722376039004,1.0790068155287417e-17,1.9216261886284815e-17,0.09990800100967373,0.24877758837760425,0.004279189341356495
2019-08-13,0.08035850988048437,3.1392814674051892e-18,0.0918485815699123,0.07521183066476302,0.3994556173051574,1.0889335897085797e-17,1.960703752958588e-17,0.10130494873907406,0.24754180716193455,0.00427870467867425
2019-08-14,0.0789871270946349,3.042821505563483e-18,0.08915305426036929,0.07557843778799779,0.4013341989117295,1.0564298984460834e-17,1.8983920047489706e-17,0.09811749574004053,0.25262428667331094,0.0042053995319170775
2019-08-15,0.07789876622949976,3.0454639886438996e-18,0.08893925155626536,0.07563982670738531,0.4015429772551825,1.0461278290494053e-17,1.8852046252207716e-17,0.0978057312421007,0.25395081428892563,0.0042226327206405226
2019-08-16,0.07792979828991452,3.090945154346009e-18,0.09010581329630649,0.07523620635476955,0.4009153046763385,1.0698525326079483e-17,1.9175182714048122e-17,0.09935539406069863,0.25218675940836194,0.004270723913610496
2019-08-19,0.07863156841824726,3.116688375497209e-18,0.09104250544635056,0.07467333683169955,0.4007113084976861,1.0852585490617666e-17,1.9563233761779346e-17,0.10098120851277298,0.24964009026059494,0.00431998203264863
2019-08-20,0.07852558390067281,3.110409179048673e-18,0.0903723072221737,0.07495279328778844,0.40086463632910535,1.0738380850766751e-17,1.9333592470177805e-17,0.09980442747468114,0.25120809480993533,0.004272156975643153
2019-08-21,0.07888626913030918,3.144022242592707e-18,0.09112240484574752,0.07480842795539405,0.4003024707332461,1.0840387480401785e-17,1.952947047042228e-17,0.10074138416127544,0.24984375417879479,0.0042952889952329164
2019-08-22,0.07877677327306641,3.113545331307327e-18,0.09124833532849716,0.0748644832197329,0.4007359151119658,1.0850816363640748e-17,1.953049741980462e-17,0.1010424405073053,0.24900283559405226,0.00432921696538006
2019-08-23,0.07789359278725186,3.0553419503166217e-18,0.08976542726782538,0.0760358908106611,0.4018705033915069,1.0477450815585064e-17,1.8839312285246244e-17,0.09806620324955603,0.2521163816771973,0.004252000816001245
2019-08-26,0.07780937725091154,3.0705244194315303e-18,0.09046753808420434,0.0760155487033027,0.40131886400719513,1.0588416688698908e-17,1.911609580721667e-17,0.099110366781954,0.2509952287038377,0.004283076468594586
2019-08-27,0.0778386986852843,3.056507210816748e-18,0.0898222847354169,0.07625675086945191,0.4004947340191549,1.0365323436114993e-17,1.895486776028296e-17,0.09809589642082453,0.2532478063571865,0.004243828912680954
2019-08-28,0.07838965036454014,3.060052772306501e-18,0.08967565017240973,0.07591783247658415,0.39998087218036077,1.0469136840737254e-17,1.8991653176611107e-17,0.09862541161604389,0.2531597375170659,0.004250845672995509
2019-08-29,0.07859797133503164,3.0941781442247276e-18,0.09045111306071325,0.07537363008798115,0.39920890241645235,1.0652700199381634e-17,1.9281953624223584e-17,0.0998847454538189,0.25219980162400174,0.004283836022000944
2019-08-30,0.0774200860796813,3.1212076382072956e-18,0.0908969710430047,0.07525189937870787,0.39969515286079627,1.0643565212622818e-17,1.9254147226544597e-17,0.09993570617649854,0.2525090009066454,0.004291183554665923
2019-09-03,0.10920549270615039,3.597422946562952e-18,0.10490895253800689,0.08057753173334002,0.4004677088709369,2.055716686307934e-17,7.509754795546547e-18,0.09274905108631222,0.19984776787805889,0.012243495187194618
2019-09-04,0.11105716018898494,3.633570516380582e-18,0.10568500438714402,0.0805441889428346,0.3984459319269156,2.058545938250615e-17,7.567760745227195e-18,0.09318115770429494,0.1988222090376806,0.012264347812145221
